# x y z rho theta phi s1 s2 stress_xx np intf bulk
-0.775773 -10.766433 -14.270976 17.893537 1.498866 2.494018 -0.002863 -0.000822 -972593.000000 1 0 0
2.066327 -13.454633 -12.950476 18.788605 -1.418410 2.331281 0.004518 -0.003899 285225.000000 1 0 0
2.099927 -11.181733 -14.608976 18.516561 -1.385159 2.479924 -0.004290 0.001680 -1497670.000000 1 0 0
-5.500673 -6.194233 -16.409776 18.382238 0.844633 2.674092 0.013189 -0.008832 -362023.000000 1 0 0
4.545627 -14.059733 -11.437876 18.685926 -1.258095 2.229525 0.006025 -0.001598 -457389.000000 1 0 0
14.103827 -10.683633 -7.887476 19.371893 -0.648283 1.990140 0.056741 -0.017724 82579.100000 1 0 0
7.149127 10.761967 -10.802976 16.841444 0.984437 2.267186 0.040789 -0.021268 1494980.000000 1 0 0
5.710527 -4.237233 -12.643976 14.506357 -0.638364 2.629286 0.005402 0.000013 2482920.000000 1 0 0
13.772827 0.506067 -10.115076 17.095661 0.036727 2.203931 0.027737 0.000766 1452650.000000 1 0 0
14.222327 5.037867 -10.365276 18.305563 0.340431 2.172729 0.026473 -0.005458 -698981.000000 1 0 0
4.153027 4.263167 -13.443076 14.701650 0.798484 2.724801 0.006635 0.003277 897292.000000 1 0 0
10.363127 -5.069733 -13.745876 17.945632 -0.454977 2.443350 0.037061 -0.001046 -556150.000000 1 0 0
2.535327 -7.543433 -11.987676 14.388733 -1.246560 2.555538 -0.005181 0.001996 667423.000000 1 0 0
-5.547373 -2.094133 -15.122776 16.243679 0.360961 2.767924 0.018310 -0.012817 -197772.000000 1 0 0
10.773327 0.031967 -9.682476 14.485024 0.002967 2.302916 0.015068 0.001985 1630140.000000 1 0 0
-1.769873 -9.586833 -16.814676 19.436387 1.388237 2.616172 0.005196 -0.007677 -137595.000000 1 0 0
8.698627 1.529367 -18.143876 20.179329 0.174038 2.688578 0.045039 -0.005673 -922462.000000 1 0 0
16.392227 -5.996633 -8.826776 19.559568 -0.350700 2.038992 0.087326 -0.019031 -1008090.000000 1 0 0
10.145127 7.578867 -10.004176 16.138351 0.641607 2.239413 0.035198 -0.007859 287563.000000 1 0 0
13.826827 -2.387033 -10.711676 17.652735 -0.170953 2.222825 0.045004 -0.006810 536090.000000 1 0 0
7.194927 -1.869433 -13.691076 15.579066 -0.254206 2.644164 0.013390 -0.005939 964852.000000 1 0 0
-2.857373 6.659467 -13.797776 15.584983 -1.165484 2.657989 0.008483 -0.001963 2020630.000000 1 0 0
