# x y z rho theta phi s1 s2 stress_xx np intf bulk
-0.668051 -10.751419 -14.345678 17.939838 1.508740 2.497517 0.003420 0.000921 -794703.000000 1 0 0
2.057449 -13.325519 -12.922678 18.676139 -1.417607 2.334962 0.014799 -0.002605 606476.000000 1 0 0
2.240149 -11.200619 -14.691378 18.609372 -1.373399 2.480727 0.009420 0.000778 611936.000000 1 0 0
-5.620851 -6.237619 -16.347278 18.377577 0.837362 2.667096 0.027298 -0.010077 -91106.500000 1 0 0
4.533649 -14.158119 -11.515878 18.804833 -1.260898 2.229876 0.010272 0.002870 475711.000000 1 0 0
14.033749 -10.602219 -7.851378 19.261290 -0.646999 1.990648 0.057175 -0.018847 -548288.000000 1 0 0
7.074849 10.878881 -10.805478 16.886738 0.994190 2.265138 0.025803 -0.012225 562890.000000 1 0 0
5.730549 -4.248219 -12.535278 14.422890 -0.637928 2.624225 0.004510 -0.001140 1149690.000000 1 0 0
13.647349 0.520781 -10.062378 16.963868 0.038141 2.205781 0.035224 -0.006895 687668.000000 1 0 0
14.199149 5.038581 -10.436178 18.328037 0.340990 2.176585 0.045621 -0.011275 -689174.000000 1 0 0
4.166249 4.366081 -13.539778 14.823828 0.808814 2.722305 0.005888 -0.003856 2018890.000000 1 0 0
10.410749 -4.982219 -13.634378 17.863439 -0.446353 2.439134 0.037881 -0.009108 -729843.000000 1 0 0
2.527449 -7.546419 -12.012478 14.409582 -1.247618 2.556471 -0.002771 0.003327 2534660.000000 1 0 0
-5.584351 -2.070019 -15.166078 16.293553 0.354980 2.767398 0.017437 -0.008215 738023.000000 1 0 0
10.667149 0.147981 -9.749578 14.452136 0.013872 2.311235 0.013391 -0.003848 1734070.000000 1 0 0
-1.609451 -9.513319 -16.839378 19.407685 1.403205 2.621283 0.013925 -0.003816 1799440.000000 1 0 0
8.686449 1.809581 -17.994278 20.062977 0.205385 2.683482 0.050622 -0.014000 977593.000000 1 0 0
16.376049 -5.908519 -8.886878 19.546411 -0.346266 2.042781 0.060984 -0.008122 -10611.600000 1 0 0
10.109249 7.574281 -9.904578 16.052019 0.643016 2.235759 0.030879 -0.008840 178350.000000 1 0 0
13.807149 -2.291619 -10.597278 17.555375 -0.164474 2.218866 0.041562 -0.009012 -1282650.000000 1 0 0
7.208749 -1.936919 -13.672278 15.577192 -0.262490 2.641861 0.014504 -0.006721 303528.000000 1 0 0
-2.789051 6.621981 -13.737378 15.503064 -1.172165 2.659674 0.014793 -0.005085 721386.000000 1 0 0
11.258949 1.782181 -14.057378 18.098342 0.156988 2.460241 0.035139 -0.010408 -12943.100000 1 0 0
-2.351151 10.733981 -12.890178 16.938210 -1.355164 2.435668 0.018103 -0.003068 -1131780.000000 1 0 0
2.897249 -1.115619 -15.270678 15.583076 -0.367562 2.941020 0.010582 -0.005135 1330840.000000 1 0 0
