# x y z rho theta phi s1 s2 stress_xx np intf bulk
-0.763162 -10.810719 -14.315799 17.955394 1.500320 2.493602 -0.000920 0.000917 -415245.000000 1 0 0
2.153338 -13.386919 -13.065899 18.829875 -1.411309 2.337676 -0.004500 0.011875 477549.000000 1 0 0
2.077638 -11.063519 -14.721599 18.532229 -1.385167 2.488780 -0.004932 0.007064 -465312.000000 1 0 0
-5.586162 -6.251019 -16.472299 18.482886 0.841506 2.670822 0.016614 -0.005939 -401189.000000 1 0 0
4.528138 -14.184319 -11.567599 18.854927 -1.261787 2.231288 -0.000418 0.006280 816031.000000 1 0 0
14.003938 -10.603919 -7.985399 19.295594 -0.648099 1.997471 0.045739 -0.021124 -263507.000000 1 0 0
7.153338 10.797981 -10.926299 16.945520 0.985705 2.271545 0.038743 -0.011666 -915025.000000 1 0 0
5.738438 -4.264619 -12.585999 14.474945 -0.639114 2.624990 -0.001372 -0.000459 1566170.000000 1 0 0
13.626638 0.553581 -10.011799 16.918269 0.040603 2.204055 0.019258 -0.004844 1263940.000000 1 0 0
14.146938 5.005981 -10.362999 18.236980 0.340106 2.175163 0.011249 -0.005666 -444703.000000 1 0 0
4.007938 4.396381 -13.368599 14.632538 0.831585 2.722900 0.011735 -0.002980 1364410.000000 1 0 0
10.170738 -4.978719 -13.723999 17.792687 -0.455224 2.451722 0.014985 -0.000466 -1436560.000000 1 0 0
2.553338 -7.628619 -12.025199 14.467922 -1.247812 2.551992 -0.003340 0.001556 2116830.000000 1 0 0
-5.590462 -2.077619 -15.129399 16.262487 0.355818 2.766095 0.006839 -0.005165 -573523.000000 1 0 0
10.679938 0.033081 -9.628399 14.379438 0.003098 2.304460 0.010968 -0.003217 719628.000000 1 0 0
-1.671062 -9.521519 -16.914199 19.481835 1.397062 2.622367 0.009218 -0.008533 1847850.000000 1 0 0
8.608338 1.520781 -17.804899 19.835088 0.174860 2.685197 0.029578 -0.010094 -766383.000000 1 0 0
16.383538 -5.889719 -8.905099 19.555303 -0.345104 2.043596 0.068702 -0.019028 702964.000000 1 0 0
10.210638 7.519981 -9.925899 16.103749 0.634795 2.234923 0.019982 -0.006280 1727290.000000 1 0 0
13.629738 -2.291219 -10.624299 17.432589 -0.166547 2.226164 0.030310 -0.008711 -1487370.000000 1 0 0
7.219438 -1.936719 -13.641899 15.555468 -0.262094 2.640346 0.007055 -0.005397 1269660.000000 1 0 0
-2.863462 6.667381 -13.841599 15.628284 -1.165143 2.658745 0.007952 -0.004085 1569810.000000 1 0 0
11.239138 1.767381 -13.958599 18.007897 0.155975 2.457729 0.017974 -0.005187 579941.000000 1 0 0
-2.302962 10.763581 -12.949099 16.995220 -1.360016 2.437078 0.011443 -0.001390 -1371900.000000 1 0 0
2.823538 -1.112619 -15.108599 15.410388 -0.375368 2.943362 0.009164 -0.005803 1017240.000000 1 0 0
-9.059262 0.423781 -15.183999 17.686256 -0.046745 2.603172 0.012406 -0.003555 -1232200.000000 1 0 0
2.437338 -1.734819 -17.940499 18.188231 -0.618580 2.976357 0.021276 -0.014903 929801.000000 1 0 0
1.066438 7.881481 -13.152799 15.370464 1.436304 2.597735 0.007435 -0.003730 166330.000000 1 0 0
9.316438 -9.009919 -9.941399 16.334199 -0.768674 2.225123 0.011713 -0.001800 -37816.900000 1 0 0
3.920038 7.366481 -13.566199 15.927131 1.081764 2.590144 0.009292 -0.001989 1743020.000000 1 0 0
-2.709562 9.136681 -15.542599 18.231650 -1.282500 2.591558 0.008015 0.001584 -971006.000000 1 0 0
5.548038 -7.599319 -15.375899 18.026332 -0.940173 2.592443 0.016698 -0.004134 749416.000000 1 0 0
4.218438 7.188181 -16.383699 18.381805 1.040097 2.671000 0.014017 -0.000629 340872.000000 1 0 0
-0.243262 5.107781 -13.492399 14.428910 -1.523206 2.779323 0.010158 -0.006398 2962820.000000 1 0 0
8.776238 4.143981 -16.552399 19.187935 0.441147 2.611275 0.024189 -0.005897 -624990.000000 1 0 0
5.306838 0.278681 -14.295099 15.250903 0.052465 2.785678 0.000880 0.000050 737791.000000 1 0 0
6.360738 7.936881 -11.676899 15.485575 0.895193 2.425003 0.017728 -0.004059 -900074.000000 1 0 0
2.763738 -8.221019 -15.137599 17.446212 -1.246486 2.621298 0.007040 -0.004754 -779042.000000 1 0 0
3.863738 11.438181 -13.770799 18.313803 1.245037 2.421790 0.037616 -0.018125 -1511220.000000 1 0 0
0.594538 -4.625619 -13.777099 14.545044 -1.442966 2.815191 0.007431 -0.005009 1374140.000000 1 0 0
8.572838 -0.115119 -11.703799 14.508126 -0.013428 2.509354 0.001122 -0.001627 727844.000000 1 0 0
-0.951862 -5.142119 -16.264699 17.084726 1.387757 2.830509 0.004158 -0.008440 1733550.000000 1 0 0
4.494438 0.899181 -11.669999 12.537838 0.197458 2.767344 -0.000277 -0.001692 725206.000000 1 0 0
-2.950962 -7.216219 -15.571399 17.414088 1.182611 2.677402 0.004134 -0.007549 1333220.000000 1 0 0
11.185538 -3.811819 -11.323599 16.366738 -0.328438 2.334867 0.015518 -0.003671 980360.000000 1 0 0
6.371538 -7.091019 -12.566899 15.773586 -0.838790 2.492620 0.007261 0.003621 -1230040.000000 1 0 0
3.363838 -4.047419 -14.596599 15.516369 -0.877373 2.795551 0.009892 -0.007299 3480610.000000 1 0 0
-0.516762 -1.415319 -18.207599 18.269834 1.220715 3.059029 0.017089 -0.011919 1804700.000000 1 0 0
14.978638 2.819081 -8.560699 17.481201 0.186031 2.082552 0.021263 -0.002584 -1612890.000000 1 0 0
6.867838 4.279781 -14.262599 16.398337 0.557277 2.625510 0.009725 -0.001803 3073050.000000 1 0 0
10.078838 -9.632719 -14.045699 19.790248 -0.762770 2.359909 0.042181 -0.007434 -799447.000000 1 0 0
8.993938 -3.271419 -15.718199 18.402578 -0.348859 2.594673 0.028441 -0.009345 -257182.000000 1 0 0
-5.227062 -2.086619 -18.083299 18.938898 0.379812 2.839861 0.001899 0.005302 -442419.000000 1 0 0
