# x y z rho theta phi s1 s2 stress_xx np intf bulk
-0.664561 -10.845222 -14.368137 18.013990 1.509596 2.494119 0.008494 -0.000212 -432086.000000 1 0 0
2.269439 -13.428522 -12.961937 18.801259 -1.403377 2.331482 -0.002755 0.005942 896354.000000 1 0 0
2.231439 -11.126722 -14.694737 18.566598 -1.372874 2.483992 -0.000053 0.004450 -544333.000000 1 0 0
-5.467161 -6.369422 -16.604337 18.605466 0.861477 2.673530 0.027423 0.000043 -735667.000000 1 0 0
4.690739 -13.993222 -11.407437 18.653228 -1.247353 2.228818 -0.003184 0.002708 -284053.000000 1 0 0
14.123439 -10.448722 -7.846637 19.241024 -0.636950 1.990848 0.046836 -0.017981 274202.000000 1 0 0
7.012439 10.808178 -10.802637 16.813327 0.995259 2.268558 0.031133 -0.015729 846567.000000 1 0 0
5.757839 -4.154222 -12.555937 14.424348 -0.625004 2.626949 0.003849 -0.004326 1210630.000000 1 0 0
13.718739 0.507778 -10.004137 16.986594 0.036997 2.200547 0.023530 -0.002977 1245730.000000 1 0 0
14.105939 5.139278 -10.303137 18.208358 0.349387 2.172256 0.013900 -0.000192 356777.000000 1 0 0
4.019539 4.319678 -13.426837 14.666160 0.821374 2.727540 0.006614 -0.002938 2160540.000000 1 0 0
10.476039 -5.036522 -13.698837 17.965858 -0.448142 2.437954 0.035707 -0.009676 -1167450.000000 1 0 0
2.600539 -7.553922 -11.950437 14.374890 -1.239241 2.552313 -0.001842 0.003769 2693340.000000 1 0 0
-5.604861 -2.028822 -15.093237 16.227642 0.347303 2.765466 0.016571 -0.005347 -701635.000000 1 0 0
10.736139 0.083178 -9.587837 14.394381 0.007747 2.299740 0.014528 -0.000974 809440.000000 1 0 0
-1.583561 -9.581122 -16.890137 19.482871 1.406998 2.619791 0.021308 -0.006983 544852.000000 1 0 0
8.748739 1.646278 -17.904537 19.995577 0.185998 2.680181 0.030060 -0.007380 499138.000000 1 0 0
16.616039 -5.945522 -8.761537 19.702957 -0.343623 2.031615 0.056364 -0.013926 -1111700.000000 1 0 0
10.126639 7.569278 -9.890737 16.052086 0.641875 2.234661 0.020708 -0.002477 1134590.000000 1 0 0
13.966939 -2.242822 -10.598637 17.675880 -0.159221 2.213810 0.042637 -0.007763 1670460.000000 1 0 0
7.314539 -1.847622 -13.671037 15.614526 -0.247420 2.637335 0.016274 -0.009129 326377.000000 1 0 0
-2.793761 6.592878 -13.878737 15.616993 -1.169981 2.665286 0.000591 -0.004854 70165.400000 1 0 0
11.184639 1.842278 -13.845237 17.893594 0.163249 2.455542 0.013791 -0.005237 1698110.000000 1 0 0
-2.381561 10.721778 -12.935637 16.969356 -1.352221 2.437646 0.008964 -0.003977 -714786.000000 1 0 0
2.945539 -0.964822 -15.168637 15.482074 -0.316540 2.940029 0.019260 -0.009111 1288950.000000 1 0 0
-9.001661 0.429978 -15.286437 17.745138 -0.047730 2.608902 0.019311 0.002037 -1020460.000000 1 0 0
2.472339 -1.782622 -17.903237 18.160839 -0.624699 2.972962 0.034068 -0.021684 1478370.000000 1 0 0
0.968139 7.900278 -13.128637 15.352941 1.448859 2.596582 0.003562 -0.006110 -652893.000000 1 0 0
9.423239 -8.992922 -9.804637 16.303404 -0.762036 2.216031 0.025752 -0.008830 -71248.100000 1 0 0
3.888139 7.308878 -13.402337 15.753093 1.081897 2.588254 0.005305 -0.006603 1666660.000000 1 0 0
-2.754461 9.033878 -15.476137 18.130329 -1.274847 2.593663 -0.002439 -0.004725 -463466.000000 1 0 0
5.542339 -7.504922 -15.265737 17.890894 -0.934700 2.593018 0.008921 -0.006700 874123.000000 1 0 0
4.161439 7.238278 -16.269137 18.286472 1.049021 2.667444 0.010588 -0.005019 -2978.560000 1 0 0
-0.268061 5.082678 -13.403237 14.337093 -1.518105 2.778673 0.004942 -0.008500 1286600.000000 1 0 0
8.754939 4.328878 -16.603137 19.262717 0.459198 2.609863 0.017175 -0.005084 -1788800.000000 1 0 0
5.360039 0.365778 -14.326837 15.301048 0.068136 2.782826 0.006840 -0.003420 111113.000000 1 0 0
6.233039 7.981078 -11.518537 15.337049 0.907763 2.420412 0.011356 -0.004540 -1817280.000000 1 0 0
2.846639 -8.317222 -14.950037 17.343100 -1.241035 2.610031 -0.000243 -0.002996 -2441.200000 1 0 0
3.961439 11.343578 -13.806637 18.302813 1.234814 2.425452 0.017986 -0.013336 -763201.000000 1 0 0
0.640439 -4.528122 -13.763037 14.502939 -1.430292 2.820790 0.009837 -0.002626 1462670.000000 1 0 0
8.557239 -0.124322 -11.621937 14.432990 -0.014527 2.506867 0.003661 -0.001576 428997.000000 1 0 0
-0.999261 -5.057522 -16.320637 17.115497 1.375730 2.835635 0.012123 -0.005086 914310.000000 1 0 0
4.497639 0.895778 -11.663537 12.532727 0.196594 2.766971 0.006586 -0.004281 -773862.000000 1 0 0
-2.882961 -7.249022 -15.628037 17.466978 1.192271 2.678598 0.017479 -0.001338 2083060.000000 1 0 0
11.512039 -3.709222 -11.340337 16.579765 -0.311701 2.324010 0.037416 -0.009480 1547150.000000 1 0 0
6.562339 -6.960122 -12.581937 15.805465 -0.814806 2.491536 0.007366 -0.003775 -467803.000000 1 0 0
3.462439 -3.941722 -14.630937 15.543164 -0.850040 2.797287 0.017451 -0.006156 2518050.000000 1 0 0
-0.514361 -1.496022 -18.232937 18.301438 1.239638 3.055045 0.031884 -0.019182 1231930.000000 1 0 0
14.952439 2.884378 -8.471937 17.426094 0.190563 2.078491 0.010415 0.001855 -1076770.000000 1 0 0
6.858239 4.327578 -14.263837 16.407937 0.562905 2.624632 0.004883 -0.001629 3213810.000000 1 0 0
10.184639 -9.608422 -13.914637 19.739953 -0.756294 2.353074 0.040412 -0.013027 -120065.000000 1 0 0
9.213339 -3.221422 -15.517237 18.331607 -0.336361 2.580125 0.030768 -0.014243 942894.000000 1 0 0
-5.311661 -2.223122 -17.980837 18.880320 0.396383 2.831675 0.019906 0.000110 -963072.000000 1 0 0
5.148139 -8.958522 -11.064437 15.138699 -1.049215 2.390394 -0.008930 0.002696 1892840.000000 1 0 0
-2.360961 3.947578 -17.008337 17.619337 -1.031791 2.877471 0.008840 -0.001088 1798800.000000 1 0 0
9.384539 9.356178 -14.484237 19.631626 0.783885 2.400603 0.043453 -0.010363 -215147.000000 1 0 0
9.764039 9.970278 -11.577537 18.132354 0.795849 2.263346 0.028032 -0.010661 365020.000000 1 0 0
12.148639 -5.889022 -9.631637 16.584282 -0.451371 2.190469 0.040721 -0.013107 118988.000000 1 0 0
