# x y z rho theta phi s1 s2 stress_xx np intf bulk
-0.694726 -10.878738 -14.304203 17.984432 1.507022 2.490407 0.008856 0.001240 -1961790.000000 1 0 0
2.209074 -13.544038 -13.019403 18.916285 -1.409117 2.329890 0.010531 -0.000008 13501.700000 1 0 0
2.186174 -11.201838 -14.631303 18.556281 -1.378057 2.479134 0.012117 0.002437 1154790.000000 1 0 0
-5.578926 -6.309838 -16.464603 18.493826 0.846800 2.668746 0.027714 -0.001668 -437763.000000 1 0 0
4.568374 -14.205538 -11.464503 18.817603 -1.259651 2.225903 0.015763 -0.002674 270974.000000 1 0 0
14.080874 -10.680038 -7.903403 19.359701 -0.648905 1.991322 0.059947 -0.018110 137123.000000 1 0 0
7.011774 10.779862 -10.866003 16.835689 0.994104 2.272363 0.038006 -0.018804 937220.000000 1 0 0
5.770174 -4.273338 -12.597503 14.500118 -0.637452 2.623542 0.007165 0.000863 2374720.000000 1 0 0
13.694274 0.438262 -10.063803 17.000157 0.031992 2.204313 0.030098 -0.001595 793144.000000 1 0 0
14.251474 5.004162 -10.352103 18.311532 0.337684 2.171633 0.038939 -0.012298 -1793670.000000 1 0 0
4.058274 4.241262 -13.470303 14.693773 0.807443 2.730627 0.005997 -0.001721 2100040.000000 1 0 0
10.313574 -5.045638 -13.719903 17.890333 -0.454989 2.444776 0.035933 -0.006622 -1131310.000000 1 0 0
2.509574 -7.614938 -12.063203 14.484685 -1.252446 2.554987 -0.002708 0.003969 1721940.000000 1 0 0
-5.615326 -1.915638 -15.147303 16.267831 0.328764 2.768268 0.016408 -0.008340 1062690.000000 1 0 0
10.741674 0.062462 -9.630903 14.427119 0.005815 2.301717 0.010914 0.000560 1611600.000000 1 0 0
-1.632026 -9.504338 -16.817603 19.386276 1.400741 2.620951 0.020451 -0.005994 432662.000000 1 0 0
8.597674 1.670162 -18.110403 20.117061 0.191868 2.691142 0.043711 -0.005625 -539946.000000 1 0 0
16.449474 -5.962138 -8.627903 19.508280 -0.347724 2.028923 0.090598 -0.015040 -769733.000000 1 0 0
10.142174 7.487462 -10.006603 16.095275 0.635939 2.241721 0.033590 -0.010339 1064280.000000 1 0 0
13.857674 -2.396738 -10.704703 17.673997 -0.171260 2.221411 0.044428 -0.001080 -21310.600000 1 0 0
7.257074 -1.933938 -13.654603 15.583755 -0.260437 2.638732 0.019636 -0.003138 1465810.000000 1 0 0
-2.784926 6.597262 -13.790703 15.539085 -1.171356 2.662655 -0.004389 0.002736 -679680.000000 1 0 0
11.280874 1.653062 -13.810103 17.908369 0.145501 2.451447 0.029963 -0.009594 1096990.000000 1 0 0
-2.329726 10.704962 -12.952803 16.964638 -1.356507 2.439539 -0.003098 0.002030 -4001230.000000 1 0 0
2.803074 -1.101338 -15.315903 15.609198 -0.374374 2.947433 0.012669 -0.000121 1036080.000000 1 0 0
-9.158726 0.371862 -15.209703 17.758254 -0.040580 2.599220 0.017781 0.002399 -933411.000000 1 0 0
2.207674 -1.790538 -18.103003 18.324807 -0.681444 2.985846 0.026104 -0.008028 136829.000000 1 0 0
1.021374 7.806062 -13.175803 15.348602 1.440692 2.603010 -0.000727 0.000100 -1205370.000000 1 0 0
9.368474 -9.055738 -9.800203 16.303947 -0.768426 2.215666 0.025027 -0.006261 1423550.000000 1 0 0
3.869674 7.216662 -13.515803 15.802896 1.078599 2.596875 0.002751 -0.001980 702198.000000 1 0 0
-2.568926 9.029262 -15.567803 18.179203 -1.293609 2.598960 -0.003874 0.004789 -287630.000000 1 0 0
5.532774 -7.773338 -15.234403 17.975634 -0.952219 2.582059 0.014604 -0.003265 -379425.000000 1 0 0
4.190074 7.121362 -16.382003 18.347766 1.038964 2.674455 0.012971 -0.003899 -203801.000000 1 0 0
-0.314926 4.966762 -13.477703 14.367198 -1.507474 2.787866 0.004772 -0.004128 2600420.000000 1 0 0
8.699474 4.248662 -16.709203 19.311381 0.454310 2.616448 0.037763 -0.009502 1125890.000000 1 0 0
5.305874 0.256162 -14.402003 15.350427 0.048241 2.788232 0.012757 0.000964 1373890.000000 1 0 0
6.290574 7.836762 -11.663203 15.395339 0.894411 2.430394 0.010324 -0.009476 -1689920.000000 1 0 0
2.773374 -8.406838 -15.065003 17.473432 -1.252143 2.610326 0.003892 0.000194 1125050.000000 1 0 0
3.948374 11.343062 -13.854903 18.336113 1.235827 2.427377 0.029583 -0.016835 -665222.000000 1 0 0
0.631074 -4.529938 -13.794503 14.532959 -1.432375 2.821440 0.004446 0.002424 -1031110.000000 1 0 0
8.492374 -0.114138 -11.624903 14.396938 -0.013439 2.510624 0.005986 0.000772 1581100.000000 1 0 0
-0.970226 -5.040038 -16.348803 17.135538 1.380619 2.837395 0.010093 -0.005281 820354.000000 1 0 0
4.490474 0.869762 -11.765503 12.623308 0.191321 2.770815 0.008752 -0.002179 2152910.000000 1 0 0
-2.888526 -7.193038 -15.474203 17.307060 1.188935 2.677209 0.004870 -0.002056 3829360.000000 1 0 0
11.390274 -3.834538 -11.338803 16.523029 -0.324733 2.327107 0.027578 -0.006110 1324800.000000 1 0 0
6.474474 -7.114438 -12.472703 15.751265 -0.832458 2.484635 0.013969 -0.001577 -1702160.000000 1 0 0
3.368474 -4.081538 -14.665403 15.591011 -0.880821 2.795284 0.010040 0.000716 3860980.000000 1 0 0
-0.667926 -1.652938 -18.408603 18.494729 1.186774 3.045048 0.024520 -0.012969 461847.000000 1 0 0
14.983874 2.814762 -8.521303 17.465737 0.185689 2.080464 0.033994 -0.005071 -377927.000000 1 0 0
6.914474 4.251162 -14.342103 16.479631 0.551246 2.626593 0.015668 -0.003978 2903180.000000 1 0 0
10.023174 -9.727038 -14.011803 19.784082 -0.770405 2.357793 0.045747 -0.013999 -2191100.000000 1 0 0
9.096974 -3.161838 -15.590203 18.325026 -0.334509 2.588226 0.047184 -0.012528 -523272.000000 1 0 0
-5.396726 -2.139138 -18.049203 18.959807 0.377379 2.830409 0.015087 -0.000490 701256.000000 1 0 0
4.990574 -9.148338 -11.057103 15.193994 -1.071401 2.385801 -0.003002 0.004213 2836530.000000 1 0 0
-2.550226 3.956562 -17.315703 17.944124 -0.998258 2.876160 0.007196 0.004467 1346750.000000 1 0 0
9.382074 9.319162 -14.376603 19.533479 0.782034 2.397936 0.075895 -0.031796 12658.400000 1 0 0
9.789674 9.952962 -11.557303 18.123753 0.793669 2.262290 0.052174 -0.027104 1040280.000000 1 0 0
12.054374 -6.008138 -9.606803 16.543770 -0.462383 2.190372 0.031877 -0.005978 -578547.000000 1 0 0
8.095174 6.847762 -13.762403 17.373181 0.702113 2.485142 0.019715 -0.011545 -470368.000000 1 0 0
3.885374 -4.208938 -17.551503 18.462571 -0.825351 2.826131 0.025920 -0.008771 305272.000000 1 0 0
9.299574 -7.491938 -12.350703 17.179962 -0.678159 2.373017 0.030522 -0.010435 -710354.000000 1 0 0
12.065474 -8.673538 -8.787203 17.263281 -0.623280 2.104832 0.046224 -0.012540 309702.000000 1 0 0
-2.939926 -2.526538 -13.904603 14.434838 0.709919 2.869710 0.007311 -0.002618 -1903970.000000 1 0 0
-0.375126 6.022362 -17.664903 18.667039 -1.508588 2.812436 0.017548 0.001138 524883.000000 1 0 0
1.040374 -8.532938 -17.616203 19.601633 -1.449471 2.687618 0.021333 -0.002774 1118880.000000 1 0 0
0.148174 8.407562 -16.059603 18.127876 1.553174 2.659241 0.003091 0.000834 -980439.000000 1 0 0
1.715874 3.305762 -14.979603 15.435698 1.092021 2.897893 0.010168 -0.001879 2588050.000000 1 0 0
-1.960426 -0.516238 -15.891403 16.020189 0.257484 3.014709 0.012504 -0.003259 1397120.000000 1 0 0
14.091074 -4.330238 -8.476403 17.004668 -0.298144 2.092635 0.043854 -0.004866 528417.000000 1 0 0
