# x y z rho theta phi s1 s2 stress_xx np intf bulk
-0.767808 -10.855406 -14.372741 18.027897 1.500183 2.493522 0.014184 -0.001181 -119203.000000 1 0 0
2.070992 -13.428106 -12.922541 18.750870 -1.417774 2.331140 0.014043 0.003082 1046590.000000 1 0 0
2.148292 -11.143906 -14.626841 18.513408 -1.380355 2.481715 0.006006 0.000813 -237428.000000 1 0 0
-5.551208 -6.375006 -16.364541 18.418872 0.854363 2.664788 0.023621 -0.009491 -1178730.000000 1 0 0
4.601092 -14.015006 -11.533441 18.724602 -1.253585 2.234389 0.013408 0.003800 1031130.000000 1 0 0
14.063092 -10.606806 -7.861341 19.289261 -0.646203 1.990566 0.044887 -0.007531 -243752.000000 1 0 0
7.106892 10.894794 -10.847041 16.937023 0.992792 2.265859 0.031027 -0.010655 607429.000000 1 0 0
5.702192 -4.146806 -12.691841 14.518740 -0.628769 2.634519 0.011870 -0.002193 2420800.000000 1 0 0
13.660192 0.582594 -10.145141 17.025397 0.042623 2.209161 0.032578 0.000872 1010730.000000 1 0 0
14.128792 5.071294 -10.414941 18.270516 0.344611 2.177352 0.024845 -0.002871 -483691.000000 1 0 0
4.046392 4.284994 -13.479041 14.711186 0.814029 2.729399 0.009810 0.000773 3001370.000000 1 0 0
10.497592 -4.949906 -13.780841 18.017008 -0.440612 2.441651 0.041460 0.002266 346229.000000 1 0 0
2.530292 -7.485706 -12.033841 14.396233 -1.244837 2.560571 0.005648 0.001793 1079000.000000 1 0 0
-5.651508 -2.083806 -15.129841 16.284775 0.353251 2.762711 0.013203 -0.007407 940494.000000 1 0 0
10.691692 0.012394 -9.699141 14.435573 0.001159 2.307556 0.009976 0.003467 1263960.000000 1 0 0
-1.636608 -9.623606 -16.929841 19.542564 1.402346 2.618555 0.033529 -0.010152 629507.000000 1 0 0
8.530592 1.797894 -18.121641 20.109632 0.207718 2.693194 0.045825 -0.006250 -579694.000000 1 0 0
16.470392 -5.983906 -8.838841 19.626667 -0.348485 2.037952 0.089683 -0.006920 -780810.000000 1 0 0
10.156792 7.523194 -10.014741 16.126187 0.637526 2.240844 0.026011 -0.004387 178450.000000 1 0 0
13.923892 -2.302206 -10.585941 17.641912 -0.163860 2.214354 0.052486 -0.008154 -1193850.000000 1 0 0
7.253092 -1.867106 -13.821341 15.720143 -0.251952 2.645002 0.019003 -0.003897 320147.000000 1 0 0
-2.878108 6.647494 -13.876741 15.653646 -1.162202 2.660492 0.010534 -0.003877 577011.000000 1 0 0
11.284792 1.982694 -14.016841 18.103851 0.173921 2.456320 0.035620 0.001356 1304200.000000 1 0 0
-2.357708 10.725794 -12.917041 16.954391 -1.354421 2.436991 0.015478 -0.002439 -1109900.000000 1 0 0
2.845392 -1.069906 -15.324941 15.623533 -0.359659 2.945772 0.011579 -0.007442 907865.000000 1 0 0
