# x y z rho theta phi s1 s2 stress_xx np intf bulk
-0.778409 -10.897502 -14.393003 18.069864 1.499487 2.492313 -0.006806 0.006671 -1587910.000000 1 0 0
2.104891 -13.516302 -13.030203 18.891987 -1.416307 2.331900 -0.001848 0.010265 54084.300000 1 0 0
2.149591 -11.269502 -14.665403 18.619787 -1.382316 2.477741 0.002972 0.005241 2632980.000000 1 0 0
-5.520709 -6.362402 -16.536703 18.558581 0.856111 2.670459 0.014810 0.000737 -1058640.000000 1 0 0
4.517591 -14.113202 -11.514003 18.766016 -1.261006 2.231352 -0.005163 0.010432 143034.000000 1 0 0
14.052391 -10.585502 -7.894503 19.283302 -0.645602 1.992588 0.034901 -0.006429 -514210.000000 1 0 0
7.090591 10.816498 -10.786503 16.841074 0.990540 2.265930 0.017792 -0.010577 283381.000000 1 0 0
5.786991 -4.194202 -12.672003 14.548548 -0.627153 2.628061 -0.005652 0.000264 2000590.000000 1 0 0
13.630691 0.557998 -10.145103 17.000889 0.040914 2.210228 0.012478 0.000678 1303020.000000 1 0 0
14.052091 5.058998 -10.375503 18.185318 0.345571 2.177963 0.012309 -0.007866 -1256890.000000 1 0 0
4.028691 4.338098 -13.417003 14.665109 0.822362 2.726039 0.001771 -0.003454 2621830.000000 1 0 0
10.220791 -5.059402 -13.747303 17.861983 -0.459648 2.449074 0.010067 0.000589 -1191580.000000 1 0 0
2.565391 -7.535102 -12.052803 14.443997 -1.242647 2.557932 -0.007613 0.001513 1534710.000000 1 0 0
-5.537309 -1.975602 -15.180903 16.279576 0.342702 2.772104 0.009758 -0.002440 445631.000000 1 0 0
10.680691 0.066098 -9.677803 14.413237 0.006188 2.306963 0.004149 -0.004255 1209850.000000 1 0 0
-1.706809 -9.645402 -16.923303 19.553648 1.395654 2.616905 -0.000936 0.002760 -57402.300000 1 0 0
8.679891 1.795498 -17.964303 20.031987 0.203980 2.683236 0.017889 -0.008056 750560.000000 1 0 0
16.256591 -6.088102 -8.835203 19.478258 -0.358333 2.041589 0.018015 0.002756 -1541820.000000 1 0 0
10.065991 7.593398 -9.955303 16.065240 0.646287 2.239131 0.016526 -0.004525 461109.000000 1 0 0
13.748591 -2.290502 -10.728903 17.589187 -0.165083 2.226821 0.018982 0.002058 29734.400000 1 0 0
7.195291 -1.766002 -13.711503 15.585130 -0.240681 2.646198 -0.000919 -0.004035 -6566.420000 1 0 0
-2.715409 6.656998 -13.713303 15.483661 -1.183496 2.658716 -0.000508 -0.000342 1399200.000000 1 0 0
11.281391 1.800298 -14.023203 18.087595 0.158247 2.457977 0.013713 -0.007495 2057240.000000 1 0 0
-2.339909 10.790998 -12.920403 16.995812 -1.357263 2.434434 -0.003741 0.003732 -571255.000000 1 0 0
2.766891 -1.069402 -15.212503 15.499018 -0.368814 2.949014 -0.000159 0.000496 -91706.600000 1 0 0
-9.001109 0.478598 -15.315503 17.771146 -0.053121 2.609640 0.005418 0.005213 -1045170.000000 1 0 0
2.407491 -1.704002 -17.985803 18.226046 -0.615936 2.979048 0.003203 -0.003439 287343.000000 1 0 0
1.021291 7.911598 -13.143703 15.375088 1.442418 2.596097 0.005409 -0.000371 -611487.000000 1 0 0
9.318391 -9.166402 -9.904703 16.399953 -0.777176 2.219240 0.009204 0.001622 -1002280.000000 1 0 0
3.918191 7.292098 -13.378103 15.732150 1.077740 2.587479 0.001916 -0.002350 432513.000000 1 0 0
-2.711609 9.092398 -15.467503 18.145748 -1.280966 2.591362 -0.000757 0.004067 247330.000000 1 0 0
5.495191 -7.638402 -15.382503 18.032296 -0.947158 2.592604 0.000147 0.002199 157790.000000 1 0 0
4.309191 7.266198 -16.240403 18.306213 1.035506 2.661934 0.009672 -0.006269 508050.000000 1 0 0
-0.270209 5.067998 -13.372803 14.303478 -1.517530 2.778868 0.004491 -0.005058 2035190.000000 1 0 0
8.787291 4.310098 -16.589503 19.261491 0.456013 2.608576 0.013789 -0.008555 -529928.000000 1 0 0
5.300391 0.317798 -14.325903 15.278306 0.059886 2.786640 0.001299 -0.000118 991987.000000 1 0 0
6.260491 7.919398 -11.538903 15.331565 0.901859 2.422834 0.001337 -0.004166 994950.000000 1 0 0
2.732891 -8.471902 -15.040403 17.477286 -1.258752 2.607181 -0.005081 0.001592 761326.000000 1 0 0
4.093891 11.549398 -13.820903 18.470677 1.230147 2.416234 0.012554 -0.008722 -1073660.000000 1 0 0
0.639291 -4.612702 -13.784803 14.550137 -1.433080 2.815809 0.002502 0.001180 1521850.000000 1 0 0
8.498591 -0.057702 -11.650203 14.420701 -0.006789 2.511343 -0.003993 -0.003716 965349.000000 1 0 0
-0.916609 -5.150002 -16.281103 17.100789 1.394659 2.830721 -0.002866 -0.001423 479787.000000 1 0 0
4.423691 0.903598 -11.631003 12.476608 0.201492 2.771309 0.000336 -0.004168 856889.000000 1 0 0
-2.911909 -7.292602 -15.579803 17.446820 1.190897 2.674737 -0.002591 0.002003 2355050.000000 1 0 0
11.330991 -3.748702 -11.452103 16.540701 -0.319501 2.335550 0.012793 -0.001608 580391.000000 1 0 0
6.508291 -7.051102 -12.576003 15.818715 -0.825409 2.489817 -0.003079 0.003502 -1576860.000000 1 0 0
3.393791 -3.977802 -14.700403 15.602646 -0.864458 2.799855 -0.002182 -0.000109 2950320.000000 1 0 0
-0.537809 -1.630502 -18.299103 18.379471 1.252191 3.048042 0.007264 -0.004593 1432740.000000 1 0 0
14.786991 2.939398 -8.513403 17.313960 0.196225 2.084846 0.006675 -0.002993 -1395470.000000 1 0 0
6.848291 4.276598 -14.389703 16.500058 0.558223 2.630274 0.003995 -0.003471 2433050.000000 1 0 0
10.028391 -9.744402 -14.013003 19.796117 -0.771037 2.357269 0.023182 -0.004123 -1073940.000000 1 0 0
8.926491 -3.203902 -15.576303 18.236459 -0.344600 2.594672 0.009667 -0.007014 680924.000000 1 0 0
-5.255709 -2.116002 -18.075803 18.942930 0.382755 2.837852 0.003604 0.008280 1123820.000000 1 0 0
5.010791 -9.082102 -11.147303 15.226784 -1.066632 2.392174 -0.008408 0.004102 2834100.000000 1 0 0
-2.368509 3.910198 -17.039903 17.642499 -1.026177 2.879478 0.004155 0.000327 2564490.000000 1 0 0
9.468291 9.404098 -14.591703 19.773806 0.781997 2.400796 0.033756 -0.011653 404222.000000 1 0 0
9.793291 10.030798 -11.650903 18.228247 0.797378 2.264212 0.026583 -0.010882 -118321.000000 1 0 0
11.900091 -5.937302 -9.745203 16.487350 -0.462791 2.203183 0.016935 0.000225 -850689.000000 1 0 0
8.115091 6.940398 -13.746003 17.406218 0.707532 2.481145 0.008670 -0.003635 -1774180.000000 1 0 0
