# x y z rho theta phi s1 s2 stress_xx np intf bulk
-0.768968 -10.699869 -14.304417 17.880012 1.499053 2.498129 0.001715 0.002761 -708425.000000 1 0 0
2.187232 -13.489569 -12.975517 18.844535 -1.410053 2.330292 0.010343 0.005005 446112.000000 1 0 0
2.089632 -11.272269 -14.674917 18.622132 -1.387499 2.478409 0.002705 0.012475 2169450.000000 1 0 0
-5.633468 -6.206669 -16.340217 18.364677 0.833772 2.667623 0.009713 -0.010609 2028600.000000 1 0 0
4.540532 -14.072769 -11.437617 18.694340 -1.258694 2.229159 0.012711 0.001638 2114940.000000 1 0 0
14.060732 -10.575869 -7.881717 19.278865 -0.644880 1.991964 0.054038 -0.012416 -862812.000000 1 0 0
7.050132 10.741631 -10.893517 16.845050 0.989979 2.274033 0.046210 -0.023051 -349781.000000 1 0 0
5.787532 -4.229569 -12.524017 14.430377 -0.631104 2.621740 0.003026 -0.001413 3312370.000000 1 0 0
13.714532 0.503631 -10.026917 16.996502 0.036706 2.201781 0.025330 -0.004957 1112500.000000 1 0 0
14.288032 5.102531 -10.463717 18.430221 0.343003 2.174564 0.026321 -0.006548 -340323.000000 1 0 0
4.091932 4.332531 -13.358617 14.627624 0.813950 2.721978 0.010968 -0.002006 1853810.000000 1 0 0
10.394932 -5.015469 -13.694017 17.909094 -0.449543 2.441279 0.038038 -0.002985 -1395880.000000 1 0 0
2.587432 -7.601369 -11.903517 14.358598 -1.242708 2.548143 -0.002848 0.002989 2581820.000000 1 0 0
-5.625468 -2.008569 -15.060717 16.202019 0.342941 2.764008 0.017816 -0.010990 959665.000000 1 0 0
10.688732 0.086531 -9.611117 14.374632 0.008095 2.303143 0.011352 -0.002782 2503790.000000 1 0 0
-1.676068 -9.417869 -16.852717 19.378326 1.394673 2.625326 0.004116 -0.002796 2000870.000000 1 0 0
8.752732 1.574631 -17.930817 20.015094 0.177998 2.681170 0.049546 -0.007044 -804475.000000 1 0 0
16.393332 -6.002469 -8.680117 19.496548 -0.350992 2.032208 0.091130 -0.016943 -1369100.000000 1 0 0
10.211132 7.567531 -10.008117 16.177056 0.637785 2.237834 0.039728 -0.012160 631240.000000 1 0 0
13.848132 -2.223569 -10.631717 17.599671 -0.159209 2.219415 0.046135 -0.012703 -302932.000000 1 0 0
7.298132 -1.853169 -13.649917 15.589009 -0.248668 2.637497 0.015315 -0.006942 368391.000000 1 0 0
-2.824068 6.582931 -13.737017 15.492449 -1.165544 2.660935 0.003727 -0.009402 -537804.000000 1 0 0
11.328932 1.845431 -14.009917 18.111546 0.161477 2.455197 0.026662 -0.003859 220661.000000 1 0 0
-2.371168 10.767731 -12.905217 16.973835 -1.354045 2.434572 0.010429 -0.008560 -959873.000000 1 0 0
