# x y z rho theta phi s1 s2 stress_xx np intf bulk
-0.657618 -10.812100 -14.280380 17.923818 1.510049 2.492655 -0.002129 0.001260 -194879.000000 1 0 0
2.120982 -13.583900 -13.101680 18.991444 -1.415908 2.332110 -0.002541 0.011429 1278920.000000 1 0 0
2.205382 -11.254000 -14.729080 18.667138 -1.377284 2.480038 -0.002764 0.009274 -315485.000000 1 0 0
-5.524018 -6.215000 -16.457380 18.438719 0.844192 2.673753 0.015289 -0.007574 -82225.800000 1 0 0
4.559182 -14.205300 -11.558380 18.872542 -1.260232 2.229945 -0.000739 0.010547 1041380.000000 1 0 0
14.041182 -10.783800 -7.907580 19.390074 -0.654930 1.990857 0.039798 -0.016951 503044.000000 1 0 0
7.056282 10.886800 -10.821980 16.894638 0.995723 2.266020 0.032338 -0.010194 1280930.000000 1 0 0
5.683282 -4.202900 -12.614480 14.459916 -0.636760 2.630838 0.011912 -0.002207 1434970.000000 1 0 0
13.686582 0.468000 -10.018980 16.968250 0.034181 2.202418 0.013046 -0.005003 8709.760000 1 0 0
14.165182 4.999900 -10.416580 18.279948 0.339319 2.177103 0.006116 -0.007108 -135211.000000 1 0 0
4.157782 4.316300 -13.579080 14.842810 0.804102 2.725955 0.010854 -0.000212 3557280.000000 1 0 0
10.366382 -4.974700 -13.693480 17.880741 -0.447429 2.443116 0.030272 -0.009648 -1023330.000000 1 0 0
2.488582 -7.553800 -11.961380 14.364106 -1.252547 2.554811 0.001570 0.003119 1529460.000000 1 0 0
-5.609618 -2.015500 -15.215480 16.341386 0.344930 2.768216 0.008409 -0.010397 206491.000000 1 0 0
10.739582 0.027200 -9.634680 14.427973 0.002533 2.302016 0.013300 -0.005009 1626770.000000 1 0 0
-1.568818 -9.596900 -16.876380 19.477523 1.408758 2.618852 0.011408 -0.005569 711174.000000 1 0 0
8.848682 1.764700 -17.937080 20.078650 0.196848 2.675522 0.028029 -0.007477 -183169.000000 1 0 0
16.567882 -6.083400 -9.017680 19.819713 -0.351898 2.043152 0.065003 -0.010578 207150.000000 1 0 0
10.084282 7.518900 -9.924280 16.022420 0.640683 2.238774 0.012708 -0.002954 2076170.000000 1 0 0
13.905882 -2.309700 -10.560380 17.613344 -0.164593 2.213756 0.029616 -0.007996 -252778.000000 1 0 0
7.240582 -1.857100 -13.639880 15.553816 -0.251073 2.640270 0.016382 -0.005243 1052020.000000 1 0 0
-2.769718 6.671100 -13.741980 15.524720 -1.177271 2.657651 0.006880 -0.000976 2128290.000000 1 0 0
11.295582 1.597100 -13.912580 17.991687 0.140460 2.454792 0.006164 -0.004453 1095810.000000 1 0 0
-2.392318 10.736800 -12.855080 16.919076 -1.351563 2.433799 0.008769 0.005342 166947.000000 1 0 0
2.866382 -1.028100 -15.206080 15.507998 -0.344382 2.943946 0.012455 -0.004066 920453.000000 1 0 0
-9.108818 0.536900 -15.228880 17.753243 -0.058875 2.601787 0.023276 -0.008863 -2039700.000000 1 0 0
2.521782 -1.666800 -18.014680 18.266535 -0.584042 2.975342 0.020778 -0.010977 -676715.000000 1 0 0
1.070382 7.881500 -13.192380 15.404631 1.435813 2.599034 0.013197 -0.002563 -957764.000000 1 0 0
9.535482 -9.147500 -9.956380 16.544838 -0.764635 2.216526 0.026162 0.000722 -967297.000000 1 0 0
3.933382 7.310200 -13.555080 15.894990 1.077160 2.592100 0.014632 -0.004844 1150620.000000 1 0 0
