# x y z rho theta phi s1 s2 stress_xx np intf bulk
-0.775218 -10.807044 -14.329512 17.964634 1.499186 2.494187 -0.009903 0.005735 -134792.000000 1 0 0
1.971282 -13.464844 -13.013412 18.829150 -1.425427 2.333849 -0.004121 0.007004 210228.000000 1 0 0
2.107082 -11.200944 -14.681912 18.586541 -1.384853 2.481478 -0.007490 0.009591 1326600.000000 1 0 0
-5.521718 -6.380044 -16.478812 18.513389 0.857391 2.668366 0.015935 -0.001178 -143092.000000 1 0 0
4.329182 -14.165544 -11.475512 18.737445 -1.274198 2.229937 -0.012446 0.008741 91959.600000 1 0 0
13.972882 -10.638844 -7.921212 19.265826 -0.650752 1.994515 0.025453 -0.005477 830865.000000 1 0 0
7.088682 10.879556 -10.815812 16.899584 0.993325 2.265301 0.016566 -0.014797 211876.000000 1 0 0
5.691982 -4.198444 -12.603012 14.452041 -0.635522 2.630187 -0.007701 0.003344 1969260.000000 1 0 0
13.643482 0.586556 -10.046312 16.953378 0.042965 2.205060 0.017772 0.000900 585492.000000 1 0 0
14.095282 5.170256 -10.420412 18.275489 0.351569 2.177528 0.017124 -0.008135 -18117.900000 1 0 0
4.103582 4.331656 -13.424312 14.690636 0.812430 2.723341 0.001112 -0.005386 1688300.000000 1 0 0
10.223882 -4.976344 -13.768312 17.856600 -0.452981 2.451283 0.017315 0.002584 369410.000000 1 0 0
2.599782 -7.601344 -12.079212 14.506780 -1.241252 2.554690 -0.008092 0.006846 848269.000000 1 0 0
-5.504518 -2.073344 -15.197612 16.296192 0.360227 2.772310 0.010542 -0.000363 -834209.000000 1 0 0
10.662482 0.088956 -9.679712 14.401155 0.008343 2.307903 0.013119 -0.002738 1744180.000000 1 0 0
-1.656718 -9.578244 -16.847412 19.450521 1.399524 2.618278 -0.001497 0.004259 230769.000000 1 0 0
8.526382 1.683656 -17.945812 19.939560 0.194956 2.690590 0.022276 -0.004303 -1061640.000000 1 0 0
16.329082 -5.925044 -8.824612 19.483810 -0.348078 2.040834 0.020260 0.000041 509275.000000 1 0 0
10.163182 7.563356 -9.911412 16.085108 0.639773 2.234687 0.020182 -0.009990 859549.000000 1 0 0
13.809582 -2.247044 -10.690912 17.608218 -0.161303 2.223271 0.030121 -0.000081 1173130.000000 1 0 0
7.232982 -1.841644 -13.669012 15.574003 -0.249320 2.641799 0.006382 -0.002468 887911.000000 1 0 0
-2.759818 6.779356 -13.739612 15.567697 -1.184192 2.652101 -0.005013 0.000074 -145805.000000 1 0 0
11.254782 1.818456 -13.905212 17.981430 0.160187 2.454841 0.021508 -0.004718 -701469.000000 1 0 0
-2.291918 10.702456 -12.844412 16.875259 -1.359834 2.435863 -0.000701 -0.002491 -885352.000000 1 0 0
2.898082 -0.963044 -15.248112 15.550924 -0.320824 2.943927 -0.005099 -0.001434 805812.000000 1 0 0
-9.070618 0.378356 -15.251212 17.748767 -0.041688 2.604662 0.010359 0.009604 -619799.000000 1 0 0
2.335482 -1.685344 -18.023012 18.251680 -0.625093 2.983132 -0.001351 -0.007874 1229680.000000 1 0 0
1.102782 7.881056 -13.099512 15.327243 1.431771 2.595683 -0.000286 -0.002477 -398026.000000 1 0 0
9.307582 -9.130844 -9.985212 16.422785 -0.775813 2.224348 0.009767 0.006005 338151.000000 1 0 0
3.976482 7.228256 -13.409012 15.743624 1.067853 2.590038 0.000036 -0.003949 -40103.200000 1 0 0
-2.590918 9.183356 -15.494012 18.196464 -1.295812 2.589607 -0.004148 0.002933 57905.400000 1 0 0
5.484982 -7.664644 -15.294512 17.965353 -0.949663 2.589319 0.001289 0.003972 456167.000000 1 0 0
4.122482 7.232956 -16.374612 18.369497 1.052759 2.671226 0.006867 -0.001527 -437797.000000 1 0 0
-0.236218 5.150456 -13.423212 14.379347 -1.524965 2.774867 -0.002373 -0.003269 1427630.000000 1 0 0
8.781482 4.256756 -16.551912 19.214582 0.451367 2.608864 0.028111 -0.003487 -152443.000000 1 0 0
5.311482 0.419556 -14.272612 15.234675 0.078827 2.784310 0.000305 -0.001531 -269753.000000 1 0 0
6.323082 7.992756 -11.546712 15.401041 0.901505 2.418459 0.002225 -0.006940 -10183.100000 1 0 0
2.690782 -8.415144 -15.078812 17.476428 -1.261316 2.611596 -0.006496 0.004717 753656.000000 1 0 0
4.132982 11.317156 -13.763312 18.291755 1.220648 2.422544 0.006542 -0.017249 -116150.000000 1 0 0
0.643382 -4.503344 -13.751012 14.483935 -1.428889 2.822108 -0.003275 0.002111 128180.000000 1 0 0
8.464282 -0.075144 -11.628512 14.383046 -0.008878 2.512374 0.003991 -0.002750 401713.000000 1 0 0
-0.883518 -5.124244 -16.263712 17.074742 1.400056 2.832143 -0.003649 -0.002569 474621.000000 1 0 0
4.450082 0.980056 -11.595512 12.458717 0.216773 2.767159 -0.000118 -0.005070 202064.000000 1 0 0
-2.843618 -7.219244 -15.501212 17.334683 1.195565 2.677507 -0.004534 0.000813 1365930.000000 1 0 0
11.355082 -3.740444 -11.465812 16.564832 -0.318213 2.335299 0.022811 -0.001348 727449.000000 1 0 0
6.481682 -7.098444 -12.603612 15.850904 -0.830784 2.490027 -0.002380 0.006430 -1820460.000000 1 0 0
3.473582 -3.901044 -14.659112 15.561924 -0.843297 2.799295 -0.005488 0.000706 3208820.000000 1 0 0
-0.538518 -1.426644 -18.377112 18.440270 1.209860 3.058804 0.001707 -0.007518 96860.200000 1 0 0
14.975382 2.987656 -8.541812 17.497163 0.196919 2.080803 0.015660 -0.002721 -1438520.000000 1 0 0
6.950182 4.432256 -14.235512 16.449915 0.567693 2.616715 0.009280 -0.007323 2523140.000000 1 0 0
10.003782 -9.726344 -14.099512 19.836171 -0.771337 2.361428 0.027897 0.000598 -2441890.000000 1 0 0
8.910782 -3.216244 -15.605512 18.255910 -0.346386 2.596000 0.019476 -0.006299 -621046.000000 1 0 0
-5.232918 -2.161844 -18.148012 19.010717 0.391769 2.839178 0.002763 0.006356 702389.000000 1 0 0
5.010182 -9.215144 -11.178812 15.329274 -1.072811 2.388016 -0.006239 0.007382 1442210.000000 1 0 0
-2.444018 4.021156 -17.140412 17.774607 -1.024669 2.873660 -0.003532 0.007854 2180490.000000 1 0 0
9.412982 9.421256 -14.373912 19.595245 0.785837 2.394314 0.038930 -0.018782 930907.000000 1 0 0
9.828482 10.066556 -11.520312 18.183844 0.797364 2.256925 0.027450 -0.016346 -115385.000000 1 0 0
11.907982 -5.921644 -9.814312 16.528358 -0.461472 2.206553 0.025824 0.002168 236860.000000 1 0 0
8.215782 6.989756 -13.553912 17.322364 0.704942 2.469390 0.015698 -0.007061 -407052.000000 1 0 0
4.042682 -4.036344 -17.632712 18.535045 -0.784614 2.828279 0.003767 -0.002488 -211079.000000 1 0 0
9.320982 -7.484144 -12.466412 17.271495 -0.676528 2.377183 0.013680 0.003138 1620430.000000 1 0 0
11.940382 -8.627044 -8.849812 17.184813 -0.625674 2.111779 0.020158 -0.000965 313784.000000 1 0 0
-2.915918 -2.475044 -14.006912 14.519711 0.703800 2.875032 0.008674 -0.004103 -1930290.000000 1 0 0
-0.429918 6.209756 -17.552712 18.623737 -1.501674 2.800804 0.001224 0.003475 2413410.000000 1 0 0
1.045682 -8.532744 -17.476012 19.475938 -1.448855 2.684440 -0.007643 0.004803 1868950.000000 1 0 0
0.158582 8.542656 -15.886112 18.038034 1.552235 2.648136 -0.005244 0.003493 -290653.000000 1 0 0
1.750382 3.352656 -14.955012 15.425839 1.089635 2.893889 0.003926 -0.000621 2600780.000000 1 0 0
-1.926918 -0.417244 -15.910612 16.032301 0.213242 3.018305 0.003811 -0.002836 918037.000000 1 0 0
14.042682 -4.295744 -8.565912 17.000741 -0.296867 2.098852 0.021107 0.001315 876599.000000 1 0 0
0.546882 0.629256 -14.558212 14.582064 0.855322 3.084389 -0.000223 -0.003630 2836380.000000 1 0 0
8.871082 2.782856 -12.542912 15.612976 0.303977 2.503720 0.007230 -0.003076 988326.000000 1 0 0
5.827882 1.101256 -17.051912 18.053938 0.186761 2.806860 0.011288 0.000106 707462.000000 1 0 0
15.296882 1.665356 -12.389812 19.755390 0.108442 2.248699 0.025430 -0.007867 -416281.000000 1 0 0
8.746482 -11.350044 -11.921412 18.639864 -0.914233 2.264729 0.017682 0.004795 1641260.000000 1 0 0
-4.670718 0.720256 -15.141112 15.861515 -0.153001 2.839049 0.009041 0.002113 725817.000000 1 0 0
2.292182 5.045156 -17.277812 18.144709 1.144345 2.831231 0.005100 0.000590 2370790.000000 1 0 0
5.921882 -11.871244 -12.352812 18.126971 -1.108075 2.320552 0.003875 0.006323 -1254950.000000 1 0 0
12.822382 7.212256 -8.665812 17.074144 0.512370 2.103124 0.012629 -0.008668 -50141.600000 1 0 0
-5.016218 3.627656 -15.723312 16.898073 -0.626118 2.766516 0.000364 0.008659 1315680.000000 1 0 0
-0.474618 -4.348144 -19.031912 19.528064 1.462073 2.915692 -0.000295 -0.004100 -866558.000000 1 0 0
9.839982 4.488556 -10.284412 14.924527 0.427961 2.331035 0.005061 -0.002334 471440.000000 1 0 0
13.339482 3.699656 -12.791212 18.847926 0.270546 2.316724 0.024696 -0.009834 1651950.000000 1 0 0
-6.004718 6.016556 -17.187612 19.174712 -0.786383 2.682305 -0.004147 0.013675 -1500000.000000 1 0 0
-10.165518 3.169756 -15.457212 18.769936 -0.302260 2.538365 0.015496 0.013120 -48036.200000 1 0 0
10.741882 13.342356 -8.308412 19.037757 0.892956 2.022410 0.032112 -0.012947 -482620.000000 1 0 0
7.502682 13.485356 -12.365212 19.774820 1.063085 2.246313 0.035294 -0.014866 154518.000000 1 0 0
5.434482 15.194556 -11.157512 19.618822 1.227314 2.175739 0.020944 -0.017044 723882.000000 1 0 0
14.226482 9.483056 -9.902612 19.758108 0.587941 2.095772 0.041386 -0.016836 -1504500.000000 1 0 0
8.209182 -17.316744 -2.099012 19.278645 -1.128115 1.679890 0.020309 0.008404 -1238870.000000 1 0 0
0.636382 -16.048644 0.087888 16.061497 -1.531164 1.565324 0.004268 -0.006349 2233670.000000 1 0 0
-9.094318 -11.604544 7.514488 16.548100 0.906082 1.099435 0.008522 -0.007503 764976.000000 1 0 0
1.986382 -15.966944 -2.491612 16.281804 -1.447026 1.724430 0.006267 -0.003406 2227510.000000 1 0 0
