# x y z rho theta phi s1 s2 stress_xx np intf bulk
-0.741335 -10.737206 -14.328874 17.920765 1.501862 2.497372 -0.002204 0.005385 -368199.000000 1 0 0
2.218565 -13.570406 -13.048474 18.956282 -1.408744 2.330002 0.006290 0.010071 312452.000000 1 0 0
2.148865 -11.221006 -14.727374 18.639317 -1.381583 2.481808 -0.002450 0.010216 360334.000000 1 0 0
-5.597435 -6.265906 -16.521874 18.535511 0.841686 2.671140 0.012157 0.002580 449402.000000 1 0 0
4.619465 -14.080106 -11.528474 18.774838 -1.253777 2.231964 -0.000847 0.008124 1375060.000000 1 0 0
14.058865 -10.602506 -7.841474 19.275724 -0.646152 1.989751 0.041481 -0.015844 340322.000000 1 0 0
7.022165 10.768794 -10.812974 16.798753 0.992957 2.270090 0.020184 -0.014883 240981.000000 1 0 0
5.744965 -4.164006 -12.668974 14.520553 -0.627183 2.631063 0.004915 -0.006094 1841560.000000 1 0 0
13.631365 0.575494 -9.960574 16.892552 0.042193 2.201413 0.015692 0.000946 -510414.000000 1 0 0
14.223965 5.055194 -10.263074 18.253954 0.341477 2.167886 0.023812 -0.008762 287848.000000 1 0 0
4.112765 4.219294 -13.392874 14.631690 0.798183 2.727131 -0.000090 0.002029 4403860.000000 1 0 0
10.450765 -4.912406 -13.623474 17.859151 -0.439404 2.438473 0.029079 -0.010702 -387368.000000 1 0 0
2.546065 -7.527106 -12.017474 14.406924 -1.244625 2.557378 -0.005615 0.002672 1830350.000000 1 0 0
-5.478535 -1.961306 -15.082974 16.166545 0.343782 2.773386 0.008747 -0.003976 167540.000000 1 0 0
10.660265 0.074594 -9.612374 14.354252 0.006997 2.304538 0.005331 -0.001882 665318.000000 1 0 0
-1.729735 -9.503206 -16.911274 19.475474 1.390751 2.622636 0.000687 -0.001333 1354220.000000 1 0 0
8.694465 1.525194 -17.793274 19.862541 0.173654 2.681071 0.030522 -0.004732 1225830.000000 1 0 0
16.485765 -5.913506 -8.820474 19.609966 -0.344408 2.037333 0.049237 -0.008507 -775521.000000 1 0 0
10.070865 7.508494 -9.878874 15.980987 0.640657 2.237201 0.015762 -0.009633 2345890.000000 1 0 0
13.861665 -2.250406 -10.525574 17.549866 -0.160943 2.213988 0.025123 -0.005029 -1703470.000000 1 0 0
7.279465 -1.845506 -13.735774 15.654647 -0.248291 2.641263 0.013275 -0.005773 3008640.000000 1 0 0
-2.788535 6.691594 -13.814674 15.601236 -1.175958 2.658335 0.002900 -0.005257 1877190.000000 1 0 0
11.189365 1.830494 -13.820574 17.876265 0.162156 2.454549 0.007804 -0.005058 39564.000000 1 0 0
-2.399535 10.721394 -12.877074 16.927052 -1.350617 2.435248 0.003029 -0.002300 -2086860.000000 1 0 0
2.868465 -1.037606 -15.279774 15.581277 -0.347085 2.944549 0.013033 -0.006694 2211990.000000 1 0 0
-8.989035 0.386794 -15.272774 17.725969 -0.043003 2.609219 0.010143 0.003060 -785396.000000 1 0 0
2.378965 -1.734906 -18.048774 18.287362 -0.630101 2.979883 0.028640 -0.015610 1265250.000000 1 0 0
1.062065 7.815194 -13.156774 15.339685 1.435726 2.601566 -0.000091 -0.004419 -1354350.000000 1 0 0
9.399765 -9.005206 -9.832974 16.313696 -0.763964 2.217731 0.017317 -0.005147 -354509.000000 1 0 0
3.882965 7.146494 -13.339174 15.623167 1.073082 2.594052 -0.002292 -0.001275 -93324.800000 1 0 0
-2.576935 9.191794 -15.476074 18.183469 -1.297461 2.588886 0.006997 0.000583 1271600.000000 1 0 0
5.502965 -7.575806 -15.305174 17.942235 -0.942580 2.592551 0.008648 -0.004791 1177560.000000 1 0 0
4.252465 7.204094 -16.198474 18.231099 1.037551 2.664879 0.008137 -0.003934 499065.000000 1 0 0
