# x y z rho theta phi s1 s2 stress_xx np intf bulk
-0.799831 -10.661367 -14.447650 17.973288 1.495915 2.504519 -0.004241 0.008324 -1893240.000000 1 0 0
2.115869 -13.531967 -13.034350 18.907282 -1.415691 2.331433 -0.010667 0.020460 -216493.000000 1 0 0
2.082769 -11.180167 -14.763050 18.635496 -1.386616 2.485203 -0.012115 0.012552 1529250.000000 1 0 0
-5.575531 -6.299067 -16.528050 18.545653 0.846254 2.670800 0.006907 0.003286 -305695.000000 1 0 0
4.534469 -14.148167 -11.603650 18.851438 -1.260641 2.233856 -0.011195 0.019961 2147880.000000 1 0 0
13.966969 -10.867067 -8.069750 19.449685 -0.661216 1.998634 0.011701 0.007330 -172534.000000 1 0 0
7.095869 10.795633 -10.915950 16.913161 0.989313 2.272358 0.019732 -0.010818 -874604.000000 1 0 0
5.707869 -4.143667 -12.575150 14.418188 -0.627935 2.630423 0.004385 -0.006480 1710650.000000 1 0 0
13.696469 0.575233 -9.989850 16.962348 0.041974 2.200546 0.017084 -0.002950 3199570.000000 1 0 0
14.170969 5.029633 -10.281950 18.216258 0.341056 2.170549 0.017345 -0.007907 708456.000000 1 0 0
4.084269 4.306633 -13.331550 14.593100 0.811893 2.722729 0.005843 -0.000069 1830760.000000 1 0 0
10.307169 -4.950167 -13.614650 17.779218 -0.447735 2.443022 0.017146 -0.012049 331139.000000 1 0 0
2.514869 -7.512467 -11.950050 14.337553 -1.247763 2.556171 -0.000888 -0.000220 2085440.000000 1 0 0
-5.534531 -1.925467 -15.060750 16.160589 0.334803 2.770532 0.003447 0.001323 236736.000000 1 0 0
10.693269 0.036133 -9.664550 14.413564 0.003379 2.305703 0.009365 -0.005656 1479050.000000 1 0 0
-1.607931 -9.544167 -17.031250 19.589284 1.403891 2.624817 0.004191 0.002148 921397.000000 1 0 0
8.808769 1.606333 -17.939450 20.049902 0.180374 2.678645 0.027527 -0.008798 -793064.000000 1 0 0
16.396669 -5.991167 -8.780050 19.540576 -0.350318 2.036805 0.030740 -0.003404 418259.000000 1 0 0
10.139969 7.573733 -9.949050 16.098571 0.641526 2.237003 0.010638 -0.009779 1422440.000000 1 0 0
13.865069 -2.241167 -10.589450 17.589753 -0.160255 2.216830 0.027888 -0.004894 -106465.000000 1 0 0
7.251669 -1.870767 -13.677550 15.593648 -0.252473 2.640635 0.013347 -0.009030 904600.000000 1 0 0
-2.713231 6.641433 -13.843250 15.591851 -1.182957 2.663451 0.013193 -0.004174 825301.000000 1 0 0
11.342169 1.776233 -13.840850 17.982462 0.155343 2.449146 0.016417 -0.013202 -771248.000000 1 0 0
-2.298431 10.723533 -12.939750 16.962137 -1.359656 2.438523 0.012695 -0.001167 -908238.000000 1 0 0
2.852169 -1.017867 -15.348850 15.644747 -0.342786 2.946793 0.011394 -0.013033 822219.000000 1 0 0
-9.019531 0.549533 -15.215850 17.696780 -0.060852 2.605692 0.009456 -0.000135 -201703.000000 1 0 0
2.183169 -1.910667 -18.080250 18.311535 -0.718932 2.982487 0.020433 -0.014376 2007760.000000 1 0 0
1.079369 7.911433 -13.337950 15.545312 1.435202 2.602169 0.010162 -0.000795 -415186.000000 1 0 0
9.376869 -9.079167 -9.873150 16.365697 -0.769269 2.218408 0.011090 0.003208 1084850.000000 1 0 0
3.996469 7.272233 -13.530750 15.872565 1.068297 2.591472 -0.001485 0.000339 1356720.000000 1 0 0
-2.651431 9.084633 -15.559350 18.211371 -1.286825 2.595144 0.015302 -0.005038 233346.000000 1 0 0
5.476569 -7.584267 -15.256450 17.896178 -0.945394 2.591541 0.006332 -0.007339 633076.000000 1 0 0
4.376069 7.302833 -16.380550 18.460871 1.030944 2.662279 0.005208 -0.003526 321780.000000 1 0 0
-0.197031 5.088233 -13.461550 14.392438 -1.532093 2.779962 0.015622 -0.006625 1332780.000000 1 0 0
8.678469 4.224733 -16.730050 19.314729 0.453037 2.618305 0.007918 -0.004937 -707681.000000 1 0 0
5.339269 0.287933 -14.433850 15.392424 0.053875 2.786817 0.008246 -0.007821 358461.000000 1 0 0
6.338269 7.872233 -11.529050 15.331820 0.892928 2.421840 0.005870 -0.006026 532280.000000 1 0 0
2.685769 -8.348167 -14.958550 17.339650 -1.259534 2.611339 0.003590 -0.005835 632748.000000 1 0 0
4.093069 11.393433 -13.896050 18.429968 1.225907 2.424915 0.008192 -0.010759 -333287.000000 1 0 0
0.607169 -4.529067 -13.716550 14.457692 -1.437530 2.820013 0.005672 -0.004656 1977850.000000 1 0 0
8.550269 -0.110267 -11.665750 14.464058 -0.012896 2.509061 0.004788 -0.006143 95545.800000 1 0 0
-0.993231 -5.089367 -16.230850 17.039033 1.378061 2.832364 0.001933 -0.010258 1583370.000000 1 0 0
4.497669 0.889733 -11.784250 12.644730 0.195299 2.770549 0.004975 -0.004753 509221.000000 1 0 0
-2.930931 -7.237067 -15.652450 17.491846 1.185997 2.678875 -0.001395 0.000629 1173180.000000 1 0 0
11.402269 -3.739467 -11.328450 16.502398 -0.316905 2.327424 0.020389 -0.009251 -702618.000000 1 0 0
6.463269 -6.987967 -12.552150 15.753158 -0.824386 2.492781 0.004171 -0.001589 -1722730.000000 1 0 0
3.472369 -3.992867 -14.665650 15.591075 -0.855008 2.795319 0.011597 -0.008879 3105320.000000 1 0 0
-0.712531 -1.520167 -18.350050 18.426691 1.132485 3.050355 0.015973 -0.014874 -1418380.000000 1 0 0
14.911369 2.923933 -8.422050 17.373233 0.193631 2.076898 0.009462 -0.002319 -1599100.000000 1 0 0
6.886469 4.303133 -14.400650 16.532366 0.558504 2.628149 0.005344 -0.002223 4351920.000000 1 0 0
10.078069 -9.592367 -13.997750 19.736210 -0.760711 2.359219 0.028262 -0.006402 530151.000000 1 0 0
9.011369 -3.131367 -15.579050 18.267923 -0.334438 2.592137 0.018735 -0.016784 503339.000000 1 0 0
-5.278931 -2.079667 -17.946650 18.822178 0.375285 2.835387 -0.011001 0.005603 -2604760.000000 1 0 0
5.010869 -9.041867 -11.082550 15.155431 -1.064746 2.390963 -0.002757 0.004760 2880090.000000 1 0 0
-2.438531 4.050333 -17.172550 17.811460 -1.028866 2.872940 0.013205 -0.000333 697664.000000 1 0 0
9.378969 9.285633 -14.488950 19.598921 0.780398 2.402786 0.034729 -0.017055 -368214.000000 1 0 0
9.829569 9.984733 -11.625450 18.206219 0.793229 2.263400 0.020531 -0.014502 246273.000000 1 0 0
12.100569 -5.959567 -9.694650 16.611034 -0.457632 2.193985 0.023558 -0.001525 -593698.000000 1 0 0
8.168469 6.831333 -13.646750 17.309673 0.696490 2.478982 0.012774 -0.005840 953694.000000 1 0 0
3.997269 -4.240867 -17.590250 18.530516 -0.814959 2.821666 0.026927 -0.018998 1187990.000000 1 0 0
9.204569 -7.374967 -12.293450 17.036524 -0.675490 2.376898 0.015486 -0.006734 -52853.900000 1 0 0
12.155969 -8.758567 -8.887350 17.420249 -0.624363 2.106183 0.016429 0.004515 2385400.000000 1 0 0
