# x y z rho theta phi s1 s2 stress_xx np intf bulk
-0.772176 -10.744329 -14.455801 18.027952 1.499051 2.501189 -0.000149 0.004359 380208.000000 1 0 0
2.078724 -13.491129 -13.134501 18.943251 -1.417918 2.336938 0.013733 0.010470 718387.000000 1 0 0
2.142224 -11.192529 -14.775901 18.659825 -1.381686 2.484639 0.005183 0.010729 -211656.000000 1 0 0
-5.668676 -6.308829 -16.401101 18.464325 0.838794 2.664337 0.020270 -0.004843 774360.000000 1 0 0
4.401224 -14.166829 -11.493001 18.765897 -1.269579 2.229941 0.005051 0.003992 1117040.000000 1 0 0
14.068724 -10.620429 -7.888801 19.312061 -0.646627 1.991596 0.046924 -0.009819 -1099320.000000 1 0 0
7.050324 10.786171 -10.826601 16.830444 0.991863 2.269564 0.041564 -0.019123 -791891.000000 1 0 0
5.690624 -4.316129 -12.575501 14.462206 -0.648896 2.625071 0.001320 -0.000840 1391360.000000 1 0 0
13.699924 0.488171 -10.068601 17.008908 0.035618 2.204285 0.036713 -0.004425 1123350.000000 1 0 0
14.177124 5.034371 -10.456401 18.321356 0.341216 2.178181 0.036462 -0.002493 41259.400000 1 0 0
4.182324 4.328371 -13.478801 14.761596 0.802557 2.721618 0.004647 0.000974 3307200.000000 1 0 0
10.272024 -5.076929 -13.700601 17.860464 -0.459036 2.445091 0.040410 0.000940 334197.000000 1 0 0
2.517224 -7.563929 -12.043801 14.443081 -1.249532 2.556897 -0.000863 0.001295 1282300.000000 1 0 0
-5.545176 -2.044029 -15.123101 16.236847 0.353160 2.769054 0.009789 -0.006251 -24799.500000 1 0 0
10.681124 0.106471 -9.761901 14.470400 0.009968 2.311235 0.015332 -0.000536 2064380.000000 1 0 0
-1.765476 -9.492229 -16.937301 19.495935 1.386906 2.623491 0.010747 -0.008249 926258.000000 1 0 0
8.620524 1.671671 -17.976501 20.006562 0.191540 2.687206 0.038533 -0.005069 314113.000000 1 0 0
16.308724 -5.951829 -8.868201 19.494711 -0.349929 2.043060 0.084851 -0.011884 -1262660.000000 1 0 0
10.173224 7.588871 -9.920001 16.108752 0.640914 2.234215 0.036819 -0.006829 1593730.000000 1 0 0
13.760124 -2.349529 -10.664301 17.566691 -0.169118 2.223171 0.052682 -0.006394 -611657.000000 1 0 0
7.161624 -1.888729 -13.639901 15.521052 -0.257858 2.644138 0.011692 -0.004710 1656760.000000 1 0 0
-2.850276 6.560771 -13.776901 15.523234 -1.160955 2.662692 0.003997 -0.006110 1375350.000000 1 0 0
11.305124 1.702071 -13.963201 18.046436 0.149435 2.455516 0.042515 -0.002281 775944.000000 1 0 0
-2.328276 10.697271 -12.847901 16.879604 -1.356487 2.435880 0.001869 -0.004208 -330631.000000 1 0 0
2.798124 -1.070829 -15.222501 15.514532 -0.365500 2.947261 0.007563 -0.007538 102607.000000 1 0 0
-9.044476 0.436671 -15.248001 17.734000 -0.048243 2.605708 0.021453 0.003101 -719366.000000 1 0 0
2.410624 -1.821029 -17.962401 18.214695 -0.646960 2.974960 0.021910 -0.018498 1775820.000000 1 0 0
1.005824 7.857371 -13.169401 15.368249 1.443478 2.600066 0.006421 -0.003718 -114886.000000 1 0 0
9.394024 -9.219129 -9.954101 16.502247 -0.776002 2.218299 0.025403 0.002035 -203896.000000 1 0 0
3.951224 7.342471 -13.538301 15.899989 1.077110 2.589571 0.004346 -0.000524 2372390.000000 1 0 0
